Country,Median
DR Congo,395
Madagascar,398
Burundi,475
Malawi,484
Central African Republic,491
Mozambique,529
Zambia,545
Uzbekistan,591
Rwanda,621
Angola,665
Togo,683
Mali,689
Benin,699
Tanzania,702
Turkmenistan,706
Niger,738
Burkina Faso,748
Liberia,753
Sierra Leone,765
South Sudan,793
Uganda,804
Nigeria,825
Guinea,843
Senegal,844
Kenya,874
Papua New Guinea,876
Chad,880
Republic of the Congo,892
Sao Tome and Principe,901
Ethiopia,907
Zimbabwe,932
Timor-Leste,970
Ivory Coast,987
Solomon Islands,1028
Laos,1065
Eswatini,1097
Bangladesh,1131
Yemen,1150
Nepal,1155
Lesotho,1157
Haiti,1162
Cameroon,1245
Sudan,1277
Vanuatu,1379
Gambia,1383
Pakistan,1399
Comoros,1401
Djibouti,1403
Micronesia,1413
Egypt,1485
Kiribati,1489
Botswana,1596
South Africa,1624
Suriname,1659
Mauritania,1760
Ghana,1779
Kyrgyzstan,1892
Myanmar,1909
Belize,1927
Iraq,1951
Namibia,1962
Tajikistan,1994
Syria,1996
Guyana,2003
Tuvalu,2099
Armenia,2216
Guatemala,2252
Georgia,2273
Sri Lanka,2277
Philippines,2292
Bhutan,2446
Fiji,2460
Honduras,2529
Samoa,2537
Algeria,2612
Venezuela,2710
Morocco,2716
Gabon,2779
Tonga,2782
Mongolia,2800
Trinidad and Tobago,2868
Jamaica,2899
Nicaragua,2946
Moldova,3133
Colombia,3146
Vietnam,3149
Jordan,3185
Azerbaijan,3193
Peru,3332
Albania,3358
Tunisia,3366
Mexico,3486
Kazakhstan,3661
El Salvador,3781
Mauritius,3832
Dominican Republic,3858
Ecuador,3891
Brazil,4230
Thailand,4356
Iran,4360
Ukraine,4434
Paraguay,4614
Saint Lucia,4763
North Macedonia,4920
Turkey,5251
Montenegro,5336
Maldives,5409
Bolivia,5442
Costa Rica,5789
Bosnia and Herzegovina,5925
Serbia,5935
Chile,6209
Belarus,6507
Argentina,6731
Panama,7008
Seychelles,7118
Uruguay,7377
Lebanon,7712
Romania,7731
Bulgaria,8329
Malaysia,8840
Slovakia,9037
Greece,9056
Russia,9563
Hungary,9683
Croatia,9855
Latvia,10428
Portugal,10855
Poland,11308
Israel,12282
Lithuania,12425
Czech Republic,12852
Estonia,13140
South Korea,13731
Taiwan,13903
Spain,14695
Slovenia,15078
Japan,15144
Italy,15268
Cyprus,15896
United Kingdom,16907
Malta,17560
Ireland,17962
France,18301
Finland,18692
Sweden,18911
Belgium,19360
Australia,19363
Germany,20323
Canada,20550
Denmark,20593
Iceland,20630
Netherlands,21480
Austria,21572
Switzerland,23488
Norway,23835
United States,24327
United Arab Emirates,26324
